distance,x,y,Bed_meters
2800.000000000000000,-357129.019980066688731,-1528096.435831248760223,-482.649749755859375
2850.000000000000000,-357172.019198080990463,-1528121.951850729761645,-482.649749755859375
2900.000000000000000,-357215.018416095350403,-1528147.467870210995898,-484.378387451171932
2950.000000000000000,-357258.017634109593928,-1528172.983889691764489,-484.378387451171932
3000.000000000000000,-357301.016852124012075,-1528198.499909172765911,-484.378387451171932
3050.000000000000000,-357344.016070138313808,-1528224.015928653767332,-473.736694335937500
3100.000000000000000,-357387.015288152673747,-1528249.531948135001585,-473.736694335937500
3150.000000000000000,-357430.014506166975480,-1528275.047967615770176,-473.736694335937500
3200.000000000000000,-357473.013724181393627,-1528300.563987097004429,-473.736694335937500
3250.000000000000000,-357516.012942195637152,-1528326.080006578005850,-468.619018554687500
3300.000000000000000,-357559.012160209997091,-1528351.596026059007272,-468.619018554687500
3350.000000000000000,-357602.011378224240616,-1528377.112045540008694,-470.936279296875000
3400.000000000000000,-357645.010596238658763,-1528402.628065021242946,-465.907135009765625
3450.000000000000000,-357688.009814252960496,-1528428.144084502011538,-465.907135009765625
3500.000000000000000,-357731.009032267262228,-1528453.660103983012959,-465.907135009765625
3550.000000000000000,-357774.035473175405059,-1528479.126245172461495,-465.907135009765625
3600.000000000000000,-357818.756832725368440,-1528501.486924947472289,-455.092315673828068
3650.000000000000000,-357863.478192275390029,-1528523.847604722483084,-461.030792236328125
3700.000000000000000,-357908.199551825411618,-1528546.208284497493878,-461.030792236328125
3750.000000000000000,-357952.920911375374999,-1528568.568964272504672,-447.917694091796875
3800.000000000000000,-357997.642270925396588,-1528590.929644047515467,-447.917694091796875
3850.000000000000000,-358042.363630475418177,-1528613.290323822526261,-447.917694091796875
3900.000000000000000,-358087.084990025381558,-1528635.651003597537056,-447.917694091796875
3950.000000000000000,-358131.806349575403146,-1528658.011683372547850,-443.533874511718693
4000.000000000000000,-358176.527709125424735,-1528680.372363147558644,-442.243316650390682
4050.000000000000000,-358221.249068675388116,-1528702.733042922569439,-442.243316650390682
4100.000000000000000,-358265.970428225409705,-1528725.093722697347403,-438.928253173828068
4150.000000000000000,-358310.691787775373086,-1528747.454402472358197,-438.928253173828068
4200.000000000000000,-358355.413147325394675,-1528769.815082247368991,-438.928253173828068
4250.000000000000000,-358400.134506875416264,-1528792.175762022379786,-435.577758789062500
4300.000000000000000,-358444.855866425437853,-1528814.536441797390580,-435.577758789062500
4350.000000000000000,-358489.577225975459442,-1528836.897121572401375,-434.261474609375000
4400.000000000000000,-358533.659279841405805,-1528860.338835597503930,-434.261474609375000
4450.000000000000000,-358574.799402758479118,-1528888.755209158640355,-432.851104736328125
4500.000000000000000,-358615.939525675494224,-1528917.171582720009610,-432.851104736328125
4550.000000000000000,-358657.079648592509329,-1528945.587956281146035,-432.851104736328125
4600.000000000000000,-358698.219771509524435,-1528974.004329842515290,-432.149139404296875
4650.000000000000000,-358739.359894426539540,-1529002.420703403651714,-432.149139404296875
4700.000000000000000,-358780.500017343554646,-1529030.837076965020970,-432.149139404296875
4750.000000000000000,-358821.640140260569751,-1529059.253450526157394,-432.149139404296875
4800.000000000000000,-358862.780263177584857,-1529087.669824087759480,-433.517730712890625
4850.000000000000000,-358903.920386094599962,-1529116.086197648663074,-433.517730712890625
4900.000000000000000,-358945.060509011615068,-1529144.502571210032329,-434.373321533203125
4950.000000000000000,-358986.200631928688381,-1529172.918944771168754,-434.373321533203125
5000.000000000000000,-359027.340754845703486,-1529201.335318332538009,-437.544036865234375
5050.000000000000000,-359068.480877762718592,-1529229.751691893907264,-437.544036865234375
5100.000000000000000,-359109.621000679733697,-1529258.168065455043688,-437.544036865234375
5150.000000000000000,-359150.761123596748803,-1529286.584439016180113,-443.887207031250000
5200.000000000000000,-359191.901246513763908,-1529315.000812577549368,-443.887207031250000
5250.000000000000000,-359233.041369430779014,-1529343.417186138685793,-443.887207031250000
5300.000000000000000,-359274.181492347735912,-1529371.833559700055048,-443.887207031250000
5350.000000000000000,-359315.321615264867432,-1529400.249933261191472,-448.544067382812500
5400.000000000000000,-359356.461738181824330,-1529428.666306822327897,-452.054046630859375
5450.000000000000000,-359397.601861098955851,-1529457.082680383697152,-452.054046630859375
5500.000000000000000,-359438.053384555620141,-1529486.449995566625148,-452.054046630859375
5550.000000000000000,-359477.887948100687936,-1529516.669319635489956,-457.774658203125000
